2:145,823,823
2:9,738,738
3:2,1001,1001
4:3,1024,1024
4:2,21,21
5:6,435,435
6:4,1045,1045
6:10,756,756
7:10,498,498
7:47,481,481
7:8,888,888
8:45,335,335
8:7,392,392
8:123,1056,1056
9:84,691,691
9:11,776,776
11:4,16,16
11:6,760,760
15:16,654,654
16:36,929,929
17:37,1222,1222
17:16,275,275
18:19,397,397
18:17,962,962
19:134,1925,1925
20:18,606,606
20:130,3348,3348
20:87,1067,1067
21:20,1791,1791
22:21,1795,1795
22:38,1126,1126
23:22,1679,1679
23:77,741,741
24:89,408,408
24:32,925,925
25:142,104,104
25:64,260,260
25:24,454,454
26:14,1198,1198
26:28,630,630
28:26,1218,1218
28:29,630,630
29:28,1218,1218
29:30,630,630
30:29,1218,1218
30:27,629,629
27:6,150,150
27:30,1218,1218
27:62,629,629
31:32,556,556
31:89,1429,1429
31:72,450,450
32:25,59,59
32:65,1420,1420
33:80,104,104
33:57,1936,1936
33:142,735,735
34:35,260,260
34:36,0,0
36:24,926,926
38:75,838,838
38:39,260,260
39:23,977,977
40:5,432,432
40:7,807,807
40:43,349,349
41:73,104,104
41:53,1541,1541
41:123,445,445
41:83,722,722
41:86,817,817
43:51,455,455
44:43,106,106
45:44,106,106
46:8,527,527
47:91,0,0
48:108,1149,1149
48:86,1046,1046
48:12,584,584
48:110,724,724
51:94,455,455
53:50,1046,1046
53:119,472,472
54:113,440,440
54:40,660,660
54:63,218,218
57:19,1587,1587
57:17,294,294
60:33,1197,1197
63:54,811,811
63:74,264,264
35:17,260,260
64:34,260,260
65:67,211,211
65:70,1205,1205
66:25,46,46
67:69,185,185
67:66,26,26
68:69,0,0
68:101,159,159
69:66,20,20
69:68,28,28
70:68,134,134
70:100,0,0
72:31,1703,1703
72:98,0,0
73:85,104,104
78:23,1466,1466
79:82,1102,1102
80:61,104,104
80:33,385,385
61:103,0,0
61:79,1104,1104
61:80,390,390
84:56,0,0
83:41,1101,1101
83:12,722,722
50:54,815,815
50:40,213,213
55:78,1516,1516
62:27,1390,1390
62:52,0,0
92:46,580,580
101:102,136,136
101:100,0,0
102:60,1236,1236
102:101,0,0
98:72,1755,1755
81:79,5,5
82:99,1102,1102
103:61,1499,1499
104:81,5,5
37:87,1103,1103
37:2,599,599
37:14,748,748
14:15,654,654
14:37,984,984
14:26,630,630
14:112,1104,1104
112:120,242,242
112:89,832,832
13:76,106,106
13:122,27,27
13:121,24,24
13:144,52,52
13:107,58,58
113:114,494,494
114:31,345,345
114:96,143,143
119:143,472,472
120:13,0,0
121:5,17,17
122:26,27,27
85:63,104,104
71:110,1091,1091
71:118,0,0
74:63,860,860
74:141,0,0
12:48,1183,1183
12:83,1183,1183
12:111,394,394
12:115,818,818
42:75,394,394
42:128,330,330
42:39,739,739
75:125,1161,1161
75:42,330,330
87:20,2798,2798
87:37,336,336
87:88,712,712
88:87,1743,1743
88:93,712,712
93:88,1760,1760
93:95,0,0
94:41,561,561
49:102,1170,1170
52:62,1406,1406
89:14,1442,1442
89:90,374,374
89:31,767,767
90:40,576,576
90:97,0,0
95:93,1783,1783
1:90,97,97
96:90,139,139
96:97,0,0
97:105,0,0
105:13,0,0
106:113,42,42
107:106,50,50
10:6,476,476
10:7,745,745
108:109,0,0
108:48,489,489
109:108,535,535
111:12,1378,1378
111:116,0,0
115:12,945,945
115:117,0,0
116:111,1414,1414
117:115,1047,1047
118:71,1142,1142
123:8,431,431
123:41,1049,1049
124:42,749,749
125:127,0,0
126:124,799,799
128:42,466,466
128:129,0,0
129:128,500,500
130:131,3232,3232
130:75,267,267
130:20,480,480
131:132,0,0
133:130,667,667
133:18,804,804
134:139,239,239
134:135,1436,1436
134:133,241,241
135:136,0,0
137:133,1353,1353
138:137,1387,1387
139:140,0,0
139:134,23,23
140:139,23,23
58:94,109,109
59:58,109,109
76:1,103,103
77:9,736,736
86:41,1030,1030
86:48,814,814
110:48,1070,1070
110:71,724,724
141:74,897,897
142:33,104,104
142:25,727,727
143:13,0,0
144:59,109,109
145:22,1004,1004
